"VideoAnalysis: Time (s)","VideoAnalysis: X Wrist (m)","VideoAnalysis: Y Wrist (m)","VideoAnalysis: X Elbow (m)","VideoAnalysis: Y Elbow (m)","VideoAnalysis: X Shoulder (m)","VideoAnalysis: Y Shoulder (m)","VideoAnalysis: X Ear (m)","VideoAnalysis: Y Ear (m)","VideoAnalysis: X Hip (m)","VideoAnalysis: Y Hip (m)","VideoAnalysis: X Knee (m)","VideoAnalysis: Y Knee (m)","VideoAnalysis: X Ankle (m)","VideoAnalysis: Y Ankle (m)","VideoAnalysis: X Toe (m)","VideoAnalysis: Y Toe (m)"
1.86666666667,-1.00383522568,-0.432526730032,-1.11189636464,-0.188182954511,-0.909270209932,0.0107410222955,-0.810134243209,0.195247531535,-0.987111447357,-0.536301098212,-0.887309492997,-0.927446951703,-1.31562314344,-0.836473329048,-1.4500215954,-0.973563131154
1.9,-1.02319106456,-0.436449382624,-1.11656677493,-0.188182954511,-0.923406825319,0.0107410222955,-0.810134243209,0.195247531535,-0.985696846368,-0.537715699201,-0.85198328569,-0.919153666015,-1.29255079736,-0.841643342081,-1.38637328579,-0.991547866057
1.93333333333,-1.04125978306,-0.435701626974,-1.13014896548,-0.188182954511,-0.923406825319,0.0107410222955,-0.810134243209,0.195247531535,-0.972049425353,-0.545901832792,-0.820471458179,-0.922316810236,-1.27455543066,-0.852235888064,-1.36893836579,-1.01174632939
1.96666666667,-1.06645056767,-0.431668649778,-1.13674392804,-0.192975947748,-0.929073058863,0.0171720235576,-0.810134243209,0.195247531535,-0.969104272475,-0.546632323467,-0.801372978156,-0.922316810236,-1.24018614093,-0.863612574842,-1.34746664689,-1.01909648654
2,-1.08665222852,-0.431668649778,-1.14369438115,-0.190132023372,-0.940892196318,0.0164999549573,-0.814612131819,0.195247531535,-0.964187954284,-0.546632323467,-0.775296974117,-0.903856275266,-1.21139887042,-0.89578892845,-1.29034377207,-1.02868930974
2.03333333333,-1.09154328597,-0.418540021885,-1.17071166272,-0.172823311223,-0.941587439698,0.0225601597502,-0.815354579672,0.195247531535,-0.964187954284,-0.546632323467,-0.743240235206,-0.886405819963,-1.19562302088,-0.911804007384,-1.26291090209,-1.05703371495
2.06666666667,-1.10472094702,-0.414605111004,-1.1737884947,-0.162661184897,-0.946477318135,0.0314592750101,-0.815354579672,0.195247531535,-0.964187954284,-0.546632323467,-0.72096532044,-0.873102007505,-1.16574592757,-0.920748528647,-1.19078386791,-1.08973323296
2.1,-1.127300716,-0.404185565057,-1.17995441694,-0.149152544112,-0.948111140077,0.0398601325147,-0.815354579672,0.206233439603,-0.956245317584,-0.545078581397,-0.71842683075,-0.863067663443,-1.12598068593,-0.946784661121,-1.14582926505,-1.11111813898
2.13333333333,-1.13669056564,-0.381826445285,-1.18919717116,-0.134356782381,-0.952850382448,0.0518762555935,-0.816131829767,0.210966544662,-0.956245317584,-0.545078581397,-0.697693616529,-0.845417850311,-1.08056697248,-0.977206665833,-1.11936580557,-1.15155847209
2.16666666667,-1.13975513798,-0.368281035554,-1.18994492714,-0.132113514447,-0.954403092663,0.0556885067922,-0.816131829767,0.210966544662,-0.956245317584,-0.545078581397,-0.666234951106,-0.829150251461,-1.05978059617,-0.991773077876,-1.08885107837,-1.17835471428
2.2,-1.14489136122,-0.348998746408,-1.19966575486,-0.12109330749,-0.958308042979,0.0666385900222,-0.816131829767,0.226534748069,-0.956245317584,-0.521992757063,-0.654592453889,-0.819355136794,-1.02737830369,-1.0111772399,-1.04035161626,-1.19176730419
2.23333333333,-1.14253776966,-0.330022914496,-1.21294148804,-0.110894406281,-0.963221096195,0.073764834664,-0.816131829767,0.227265595174,-0.956245317584,-0.511649936719,-0.646192844026,-0.798582051007,-0.997700568202,-1.03988476729,-0.982794677044,-1.20541139511
2.26666666667,-1.15663480241,-0.320056925255,-1.21692543383,-0.119965544376,-0.967288269967,0.0785156644251,-0.821932203615,0.232381524907,-0.956245317584,-0.503510183488,-0.642697436756,-0.791391878639,-0.980436180206,-1.0519525612,-0.897587835654,-1.24669091939
